Sector,Layer,Component,xo,yo,zo,xe,ye,ze
1,1,1,0.5514887709973725,0.49365520504654103,0.7524412713470068,0.5516061972963047,0.5043219338797003,0.7487590025040982
1,1,2,0.5564519958881989,0.49112192598235904,0.7433298518295922,0.5565807414149628,0.506862099802791,0.7397383718789978
1,1,3,0.5614152207790253,0.48858864691817705,0.7342184323121782,0.5615552855336211,0.5094022657258818,0.730717741253898
1,1,4,0.5663784456698518,0.486055367853995,0.7251070127947638,0.5665298296522795,0.5119424316489725,0.7216971106287976
1,1,5,0.5713416705606783,0.483522088789813,0.7159955932773497,0.5715043737709377,0.5144825975720632,0.7126764800036977
1,1,6,0.5763048954515048,0.48098880972563096,0.7068841737599352,0.5764789178895958,0.517022763495154,0.7036558493785973
1,1,7,0.5812681203423312,0.4784555306614489,0.69777275424252,0.5814534620082541,0.5195629294182448,0.6946352187534963
1,1,8,0.5862313452331578,0.4759222515972669,0.688661334725106,0.5864280061269124,0.5221030953413355,0.6856145881283965
1,1,9,0.5911945701239842,0.47338897253308493,0.6795499152076915,0.5914025502455706,0.5246432612644262,0.6765939575032961
1,1,10,0.5961577950148107,0.4708556934689028,0.6704384956902775,0.5963770943642289,0.5271834271875169,0.6675733268781963
1,1,11,0.6011210199056372,0.46832241440472083,0.6613270761728629,0.6013516384828872,0.5297235931106077,0.6585526962530958
1,1,12,0.6060842447964636,0.46578913534053884,0.6522156566554489,0.6063261826015454,0.5322637590336984,0.6495320656279959
1,1,13,0.6110474696872902,0.46325585627635685,0.6431042371380343,0.6113007267202037,0.5348039249567892,0.6405114350028955
1,1,14,0.6160106945781165,0.4607225772121748,0.6339928176206193,0.6162752708388619,0.5373440908798799,0.6314908043777946
1,1,15,0.620973919468943,0.45818929814799275,0.6248813981032053,0.6212498149575202,0.5398842568029706,0.6224701737526948
1,1,16,0.6259371443597695,0.45565601908381076,0.6157699785857913,0.6262243590761785,0.5424244227260614,0.6134495431275949
1,1,17,0.630900369250596,0.4531227400196287,0.6066585590683767,0.6311989031948367,0.5449645886491521,0.6044289125024944
1,1,18,0.6358635941414224,0.4505894609554467,0.5975471395509622,0.6361734473134949,0.5475047545722428,0.595408281877394
1,1,19,0.6408268190322488,0.44805618189126467,0.5884357200335482,0.6411479914321532,0.5500449204953336,0.5863876512522942
1,1,20,0.6457900439230754,0.4455229028270826,0.5793243005161336,0.6461225355508114,0.5525850864184243,0.5773670206271938
1,1,21,0.6507532688139018,0.44298962376290063,0.5702128809987185,0.6510970796694697,0.5551252523415151,0.5683463900020929
1,1,22,0.6557164937047284,0.44045634469871864,0.561101461481305,0.656071623788128,0.5576654182646058,0.5593257593769936
1,1,23,0.6606797185955549,0.4379230656345366,0.55199004196389,0.6610461679067863,0.5602055841876965,0.5503051287518926
1,1,24,0.6656429434863812,0.43538978657035454,0.542878622446476,0.6660207120254444,0.5627457501107872,0.5412844981267927
1,1,25,0.6706061683772078,0.43285650750617255,0.533767202929062,0.6709952561441028,0.565285916033878,0.5322638675016929
1,1,26,0.6755693932680342,0.4303232284419905,0.5246557834116474,0.675969800262761,0.5678260819569688,0.5232432368765925
1,1,27,0.6805326181588607,0.4277899493778085,0.5155443638942323,0.6809443443814193,0.5703662478800595,0.5142226062514915
1,1,28,0.6854958430496872,0.42525667031362646,0.5064329443768188,0.6859188885000775,0.5729064138031502,0.5052019756263922
1,1,29,0.6904590679405136,0.4227233912494444,0.4973215248594043,0.6908934326187358,0.575446579726241,0.4961813450012918
1,1,30,0.69542229283134,0.4201901121852624,0.4882101053419892,0.695867976737394,0.5779867456493317,0.48716071437619085
1,1,31,0.7003855177221666,0.41765683312108043,0.4790986858245757,0.7008425208560524,0.5805269115724224,0.4781400837510915
1,1,32,0.7053487426129931,0.4151235540568983,0.4699872663071612,0.7058170649747105,0.5830670774955132,0.4691194531259911
1,1,33,0.7103119675038194,0.41259027499271633,0.46087584678974663,0.7107916090933688,0.5856072434186039,0.46009882250089074
1,1,34,0.715275192394646,0.41005699592853434,0.4517644272723326,0.7157661532120271,0.5881474093416947,0.45107819187579085
1,1,35,0.7202384172854724,0.40752371686435235,0.44265300775491806,0.7207406973306854,0.5906875752647853,0.44205756125069046
1,1,36,0.7252016421762989,0.4049904378001703,0.433541588237503,0.7257152414493435,0.5932277411878761,0.4330369306255895
1,1,37,0.7301648670671254,0.4024571587359883,0.42443016872008954,0.7306897855680018,0.5957679071109668,0.4240163000004902
1,1,38,0.7351280919579519,0.39992387967180626,0.415318749202675,0.7356643296866601,0.5983080730340576,0.4149956693753898
1,1,39,0.7400913168487783,0.3973906006076242,0.40620732968525985,0.7406388738053183,0.6008482389571485,0.40597503875028884
1,1,40,0.7450545417396048,0.3948573215434422,0.39709591016784695,0.7456134179239766,0.603388404880239,0.39695440812519006
1,1,41,0.7500177666304313,0.39232404247926017,0.3879844906504319,0.7505879620426349,0.6059285708033298,0.3879337775000891
1,1,42,0.7549809915212577,0.3897907634150781,0.3788730711330173,0.7555625061612931,0.6084687367264207,0.3789131468749887
1,1,43,0.7599442164120841,0.38725748435089613,0.3697616516156033,0.7605370502799513,0.6110089026495114,0.36989251624988884
1,1,44,0.7649074413029106,0.38472420528671414,0.36065023209818875,0.7655115943986095,0.613549068572602,0.36087188562478845
1,1,45,0.7698706661937371,0.38219092622253215,0.3515388125807737,0.7704861385172679,0.6160892344956928,0.3518512549996875
1,1,46,0.7748338910845636,0.37965764715835004,0.3424273930633591,0.775460682635926,0.6186294004187836,0.3428306243745871
